TISMEDT_000094	brain_basal nucleus of meynert	UBERON:0010010	basal nucleus of telencephalon
TISMEDT_000095	brain_basolateral nuclear complex	UBERON:0006107	basolateral amygdaloid nuclear complex
TISMEDT_000096	brain_caudate nucleus	UBERON:0001873	caudate nucleus
TISMEDT_000097	brain_central amygdaloid nucleus	UBERON:0002883	central amygdaloid nucleus
TISMEDT_000098	brain_centromedial thalamic nucleus	UBERON:0002972	centromedian nucleus of thalamus
TISMEDT_000099	brain_cerebellar cortex	UBERON:0002129	cerebellar cortex
TISMEDT_000100	brain_cerebellar nuclei	UBERON:0002130	cerebellar nuclear complex
TISMEDT_000101	brain_cerebellum	UBERON:0002037	cerebellum
TISMEDT_000102	brain_cerebellum peduncles	UBERON:0007416	cerebellar peduncle
TISMEDT_000103	brain_cerebral cortex	UBERON:0000956	cerebral cortex
TISMEDT_000104	brain_cervical cord	UBERON:0002726	cervical spinal cord
TISMEDT_000105	brain_choroid plexus	UBERON:0001886	choroid plexus
TISMEDT_000106	brain_claustrum	UBERON:0002023	claustrum of brain
TISMEDT_000107	brain_cochlear nucleus	UBERON:0001720	cochlear nucleus
TISMEDT_000108	brain_corpus callosum	UBERON:0002336	corpus callosum
TISMEDT_000109	brain_corpus striatum	UBERON:0000369	corpus striatum
TISMEDT_000110	brain_corticomedial nuclear complex	UBERON:0006108	corticomedial nuclear complex
TISMEDT_000111	brain_cuneate nuclei	UBERON:0002045	cuneate nucleus
TISMEDT_000112	brain_dentate gyrus	UBERON:0001885	dentate gyrus of hippocampal formation
TISMEDT_000113	brain_dorsal cochlear nucleus	UBERON:0002829	dorsal cochlear nucleus
TISMEDT_000114	brain_dorsal funiculus	UBERON:0002258	dorsal funiculus of spinal cord
TISMEDT_000115	brain_dorsal medullary reticular nucleus	UBERON:0002559	medullary reticular formation
TISMEDT_000116	brain_dorsal motor vagal complex	UBERON:0002870	dorsal motor nucleus of vagus nerve
TISMEDT_000117	brain_dorsal raphe nucleus	UBERON:0002043	dorsal raphe nucleus
TISMEDT_000118	brain_dorsal tegmental nucleus	UBERON:0002143	dorsal tegmental nucleus
TISMEDT_000119	brain_dorsolateral prefrontal cortex	UBERON:0009834	dorsolateral prefrontal cortex
TISMEDT_000120	brain_dorsolateral tegmental area		
TISMEDT_000121	brain_dorsomedial prefrontal cortex		
TISMEDT_000122	brain_entorhinal cortex	UBERON:0002728	entorhinal cortex
TISMEDT_000123	brain_entorhinal gyrus	UBERON:0002728	entorhinal cortex
TISMEDT_000124	brain_facial nucleus	UBERON:0000127	facial nucleus
TISMEDT_000125	brain_flocculonodular lobe	UBERON:0003012	flocculonodular lobe
TISMEDT_000126	brain_frontal lobe	UBERON:0016525	frontal lobe
TISMEDT_000127	brain_frontal operculum	UBERON:0002947	frontal operculum
TISMEDT_000128	brain_frontal pole cortex	UBERON:0002795	frontal pole
TISMEDT_000129	brain_frontomarginal cortex		
TISMEDT_000130	brain_frontopolar cortex	UBERON:0002795	frontal pole
TISMEDT_000131	brain_geniculate bodies	UBERON:0001927	medial geniculate body
TISMEDT_000132	brain_germinal matrix		
TISMEDT_000133	brain_gigantocellular reticular nuclei	UBERON:0002155	gigantocellular nucleus
TISMEDT_000134	brain_globus pallidus	UBERON:0001875	globus pallidus
TISMEDT_000135	brain_grey matter	UBERON:0002020	gray matter
TISMEDT_000136	brain_gyrus cinguli	UBERON:0002967	cingulate gyrus
TISMEDT_000137	brain_habenula	UBERON:0001904	habenula
TISMEDT_000138	brain_hippocampus	UBERON:0002421	hippocampal formation
TISMEDT_000139	brain_hypothalamus	UBERON:0001898	hypothalamus
TISMEDT_000140	brain_inferior colliculus	UBERON:0001946	inferior colliculus
TISMEDT_000141	brain_inferior olive	UBERON:0002127	inferior olivary complex
TISMEDT_000142	brain_insular cortex	UBERON:0034891	insular cortex
TISMEDT_000143	brain_intraparietal deep sulcus		
TISMEDT_000144	brain_Kolliker Fuse nucleus	UBERON:0002869	diffuse reticular nucleus
TISMEDT_000145	brain_lateral funiculus	UBERON:0002179	lateral funiculus of spinal cord
TISMEDT_000146	brain_lateral lemniscal nuclei		
TISMEDT_000147	brain_lateral medullary reticular nucleus	UBERON:0002559	medullary reticular formation
TISMEDT_000148	brain_lateral thalamic nuclei		
TISMEDT_000149	brain_limbic lobe	UBERON:0002600	limbic lobe
TISMEDT_000150	brain_locus coeruleus	UBERON:0002148	locus ceruleus
TISMEDT_000151	brain_mammillary bodies	UBERON:0002206	mammillary body
TISMEDT_000152	brain_medial olivary nucleus	UBERON:0002128	superior olivary complex
TISMEDT_000153	brain_medial periolivary nuclei	UBERON:0002128	superior olivary complex
TISMEDT_000154	brain_median raphe nucleus	UBERON:0003004	median raphe nucleus
TISMEDT_000155	brain_mediodorsal thalamic nucleus	UBERON:0002739	medial dorsal nucleus of thalamus
TISMEDT_000156	brain_medulla oblongata	UBERON:0001896	medulla oblongata
TISMEDT_000157	brain_mesencephalon	UBERON:0001891	midbrain
TISMEDT_000158	brain_midbrain reticular formation	UBERON:0002639	midbrain reticular formation
TISMEDT_000159	brain_middle cingulate cortex		
TISMEDT_000160	brain_middle frontal gyrus	UBERON:0002702	middle frontal gyrus
TISMEDT_000161	brain_midline thalamic nuclei		
TISMEDT_000162	brain_motor cortex	UBERON:0001384	primary motor cortex
TISMEDT_000163	brain_motor hypoglossal nucleus	UBERON:0002871	hypoglossal nucleus
TISMEDT_000164	brain_nuclei of the trapezoid body	UBERON:0007633	nucleus of trapezoid body
TISMEDT_000165	brain_nucleus accumbens	UBERON:0001882	nucleus accumbens
TISMEDT_000166	brain_nucleus cuneatus	UBERON:0002045	cuneate nucleus
TISMEDT_000167	brain_nucleus gracilis	UBERON:0002161	gracile nucleus
TISMEDT_000168	brain_nucleus raphe magnus	UBERON:0002156	nucleus raphe magnus
TISMEDT_000169	brain_nucleus raphe obscurus	UBERON:0002684	nucleus raphe obscurus
TISMEDT_000170	brain_nucleus raphe pallidus	UBERON:0002157	nucleus raphe pallidus
TISMEDT_000171	brain_nucleus rhomboideus		
TISMEDT_000172	brain_occipital lobe	UBERON:0002021	occipital lobe
TISMEDT_000173	brain_olfactory area		
TISMEDT_000174	brain_olfactory bulb	UBERON:0002264	olfactory bulb
TISMEDT_000175	brain_olfactory tubercle	UBERON:0001883	olfactory tubercle
TISMEDT_000176	brain_parabrachial nucleus	UBERON:0007634	parabrachial nucleus
TISMEDT_000177	brain_paracentral lobule	UBERON:0035933	paracentral lobule
TISMEDT_000178	brain_parahippocampal cortex	UBERON:0002973	parahippocampal gyrus
TISMEDT_000179	brain_paramedian reticular nucleus	UBERON:0007764	paramedian reticular nucleus
TISMEDT_000180	brain_parathyroid glands	UBERON:0001132	parathyroid gland
TISMEDT_000181	brain_paraventricular hypothalamic nucleus	UBERON:0001930	paraventricular nucleus of hypothalamus
TISMEDT_000182	brain_parietal lobe	UBERON:0001872	parietal lobe
TISMEDT_000183	brain_parietal operculum	UBERON:0002911	parietal operculum
TISMEDT_000184	brain_parieto insular vestibular cortex		
TISMEDT_000185	brain_parieto occipital transitional area		
TISMEDT_000186	brain_parieto temporal junction		
TISMEDT_000187	brain_parvicellular reticular nuclei	UBERON:0016633	parvocellular reticular nucleus
TISMEDT_000188	brain_pedunculopontine tegmental nucleus	UBERON:0002142	pedunculopontine tegmental nucleus
