TISMEDT_000159	brain_middle cingulate cortex
TISMEDT_000160	brain_middle frontal gyrus
TISMEDT_000161	brain_midline thalamic nuclei
TISMEDT_000162	brain_motor cortex
TISMEDT_000163	brain_motor hypoglossal nucleus
TISMEDT_000164	brain_nuclei of the trapezoid body
TISMEDT_000165	brain_nucleus accumbens
TISMEDT_000166	brain_nucleus cuneatus
TISMEDT_000167	brain_nucleus gracilis
TISMEDT_000168	brain_nucleus raphe magnus
TISMEDT_000169	brain_nucleus raphe obscurus
TISMEDT_000170	brain_nucleus raphe pallidus
TISMEDT_000171	brain_nucleus rhomboideus
TISMEDT_000172	brain_occipital lobe
TISMEDT_000173	brain_olfactory area
TISMEDT_000174	brain_olfactory bulb
TISMEDT_000175	brain_olfactory tubercle
TISMEDT_000176	brain_parabrachial nucleus
TISMEDT_000177	brain_paracentral lobule
TISMEDT_000178	brain_parahippocampal cortex
TISMEDT_000179	brain_paramedian reticular nucleus
TISMEDT_000180	brain_parathyroid glands
TISMEDT_000181	brain_paraventricular hypothalamic nucleus
TISMEDT_000182	brain_parietal lobe
TISMEDT_000183	brain_parietal operculum
TISMEDT_000184	brain_parieto insular vestibular cortex
TISMEDT_000185	brain_parieto occipital transitional area
TISMEDT_000186	brain_parieto temporal junction 
TISMEDT_000187	brain_parvicellular reticular nuclei
TISMEDT_000188	brain_pedunculopontine tegmental nucleus
TISMEDT_000189	brain_periaquaductal grey
TISMEDT_000190	brain_perirhinal gyrus
TISMEDT_000191	brain_peritrigeminal nucleus
TISMEDT_000192	brain_piriform cortex
TISMEDT_000193	brain_pons
TISMEDT_000194	brain_pontine nuclei
TISMEDT_000195	brain_pontine tegmentum
TISMEDT_000196	brain_posterior insular cortex
TISMEDT_000197	brain_posterior thalamic nucleus
TISMEDT_000198	brain_posteroventral cochlear nucleus
TISMEDT_000199	brain_prefrontal cortex
TISMEDT_000200	brain_preoptic area
TISMEDT_000201	brain_prepositus hypoglossal nucleus
TISMEDT_000202	brain_pretectal region
TISMEDT_000203	brain_pulvinar
TISMEDT_000204	brain_putamen
TISMEDT_000205	brain_red nucleus
TISMEDT_000206	brain_reticulotegmental nucleus
TISMEDT_000207	brain_seminal vesicles
TISMEDT_000208	brain_sensory cortex
TISMEDT_000209	brain_septal nuclei
TISMEDT_000210	brain_solitary nucleus
TISMEDT_000211	brain_somatomor cortex 
TISMEDT_000212	brain_somatosensory cortex
TISMEDT_000213	brain_spinal cord
TISMEDT_000214	brain_spinal trigeminal nucleus 
TISMEDT_000215	brain_spinal vestibular nucleus
TISMEDT_000216	brain_subcoeruleus area
TISMEDT_000217	brain_subgenual area
TISMEDT_000218	brain_substantia nigra
TISMEDT_000219	brain_subthalamic nucleus
TISMEDT_000220	brain_superior colliculus
TISMEDT_000221	brain_superior olivary complex
TISMEDT_000222	brain_superior vestibular nucleus
TISMEDT_000223	brain_suprachiasmatic nucleu
TISMEDT_000224	brain_supraoptic nucleus
TISMEDT_000225	brain_temporal lobe
TISMEDT_000226	brain_temporal pole
TISMEDT_000227	brain_temporal white matter
TISMEDT_000228	brain_temporo insular cortex
TISMEDT_000229	brain_temporo occipital transitional zone
TISMEDT_000230	brain_thalamus
TISMEDT_000231	brain_trigeminal caudal nucleus
TISMEDT_000232	brain_trigeminal motor nucleus
TISMEDT_000233	brain_ventral medullary reticular nucleus
TISMEDT_000234	brain_ventral periolivary nuclei
TISMEDT_000235	brain_ventral tegmental area
TISMEDT_000236	brain_ventral thalamic nuclei
TISMEDT_000237	brain_ventrolateral medulla
TISMEDT_000238	brain_ventrolateral prefrontal cortex
TISMEDT_000239	brain_ventrolateral tegmental area
TISMEDT_000240	brain_ventromedial nucleus
TISMEDT_000241	brain_vermis
TISMEDT_000242	brain_vestibular nuclei
TISMEDT_000243	brain_visual cortex
TISMEDT_000244	brain_white matter
TISMEDT_000245	brain_zona incerta
TISMEDT_000246	ganglia
TISMEDT_000247	ganglia_parasympathetic ganglia
TISMEDT_000248	ganglia_spinal ganglia
TISMEDT_000249	ganglia_superior cervical ganglion
TISMEDT_000250	ganglia_trigeminal ganglion
TISMEDT_000251	neuroglia
TISMEDT_000252	neurons
TISMEDT_000253	spinal nerves
TISMEDT_000254	spinal nerves_sciatic nerve
TISMEDT_000255	spinal nerves_tibial nerve
TISMEDT_000256	Other Systems
TISMEDT_000257	adipose tissue
TISMEDT_000258	adipose tissue_abdominal
TISMEDT_000259	adipose tissue_omental fat pad
TISMEDT_000260	adipose tissue_subcutaneous
TISMEDT_000261	adipose tissue_visceral
TISMEDT_000262	breast
TISMEDT_000263	breast_mammary gland
TISMEDT_000264	placenta
TISMEDT_000265	retina
TISMEDT_000266	saliva
TISMEDT_000267	Respiratory System
TISMEDT_000268	lung
TISMEDT_000269	lung_upper lobe of left lung
TISMEDT_000270	nasopharynx
TISMEDT_000271	nose
TISMEDT_000272	nose_nasal mucosa
TISMEDT_000273	trachea
TISMEDT_000274	Stomatognathic System
TISMEDT_000275	Urogenital System
TISMEDT_000276	cervix uteri
TISMEDT_000277	cervix uteri_ectocervix
TISMEDT_000278	cervix uteri_endocervix
TISMEDT_000279	endometrium
TISMEDT_000280	epididymis
TISMEDT_000281	fallopian tube
TISMEDT_000282	kidney
TISMEDT_000283	kidney_cortex
TISMEDT_000284	kidney_medulla
TISMEDT_000285	prostate
TISMEDT_000286	spermatozoa
TISMEDT_000287	testis_seminiferous tubule
TISMEDT_000288	urinary bladder
TISMEDT_000289	uterus
TISMEDT_000290	vagina
